individual,label,class,candidate_iri,match_type,vocabulary,verification_note
Armyworm,Armyworm,Pest,,,,"REVERTED 2026-08-22: AGROVOC_alignment.md already explicitly rejected this exact candidate ('fall armyworms' = Spodoptera frugiperda, a maize pest, false-positive risk) in round 2 and again in next-review-action #6. Left local-only per that decision."
Bacterial_Leaf_Blight,Bacterial Leaf Blight,Disease,,,,REVERTED 2026-08-22: AGROVOC_alignment.md's initial round explicitly warns 'Do not substitute the pathogen Xanthomonas oryzae; disease and pathogen are distinct entities' for this exact entity. c_24383's prefLabel is the pathogen; using its altLabel conflates disease with pathogen. Left local-only per that decision.
Bacterial_Leaf_Streak,Bacterial Leaf Streak,Disease,,,,"REVERTED 2026-08-22: same disease-vs-pathogen substitution the register explicitly forbids for Bacterial_Leaf_Blight (c_330601's prefLabel is 'Xanthomonas oryzae pv. oryzicola', the pathogen already correctly aligned to the Xanthomonas_Oryzicola Pathogen individual via NCBITaxon). Left local-only."
Bacterial_Panicle_Blight,Bacterial Panicle Blight,Disease,,,,"No AGROVOC concept found: tried 'bacterial panicle blight', 'panicle*blight*', '*panicle*' (returned only 'panicle initiation stage' and 'panicles') and 'Burkholderia*' (returned only B. cepacia, B. pseudomallei/Ralstonia solanacearum as 'B. solanacearum', and Burkholderiaceae - no B. glumae entry). Leaving blank rather than forcing a weak match."
Brown_Leaf_Tip,brown leaf tip,Symptom,,,,No AGROVOC concept for 'leaf tip' / 'brown leaf tip' / '*leaf*tip*' - all queries returned empty results array. Leaving blank.
Brown_Lesion,Brown Lesion,Symptom,,,,REVERTED 2026-08-22: AGROVOC_alignment.md round 4 already explicitly marks this 'Needs domain review... AGROVOC concept is a generic plant-pathology symptom with no color or leaf-location specificity; broader than the local entity.' That review was not done here; left in 'needs domain review' state per the register.
Brown_Spot,Brown Spot,Disease,,,,REVERTED 2026-08-22: AGROVOC_alignment.md round 4 explicitly recorded 'No exact English concept found... A generic phrase match must not be used as a rice-disease match.' c_34512 is also already correctly assigned to the Bipolaris_Oryzae Pathogen individual - reusing it here conflates disease with pathogen. Left local-only.
Burkholderia_Glumae,Burkholderia glumae,Pathogen,http://purl.obolibrary.org/obo/NCBITaxon_337,exactMatch,NCBITaxon,OLS4 NCBI Taxonomy search q=Burkholderia glumae returned obo_id NCBITaxon:337 with label 'Burkholderia glumae' - exact literal match.
Chewed_Leaf,Chewed Leaf,Symptom,,,,No AGROVOC concept for 'chewed leaf' / 'leaf damage' (query=leaf*damage* returned empty). Leaving blank.
Critical_Severity,Critical Severity,SeverityLevel,,,,"Generic severity-scale label, not a domain concept; no plausible AGROVOC/NCBI/PECO controlled-vocabulary concept exists for this. Not queried further - left blank by design per task guidance on severity levels."
Crop_Sanitation,crop sanitation,Treatment,http://aims.fao.org/aos/agrovoc/c_3739,closeMatch,AGROVOC,"AGROVOC search query=sanitation* returned prefLabel 'hygiene' with altLabel 'sanitation' (c_3739). Concept is general hygiene/sanitation, not specifically 'crop sanitation' as an agronomic practice, so closeMatch."
Dead_Tiller,dead heart,Symptom,,,,No AGROVOC concept found for 'dead heart' / 'dead hearts' / '*dead*heart*' - all queries returned empty results. Leaving blank.
Deadheart,Deadheart,Symptom,,,,Same as Dead_Tiller: no AGROVOC concept for 'deadheart(s)' or 'dead heart(s)' found via multiple query variants. Leaving blank.
Dense_Canopy,dense canopy,EnvironmentalFactor,http://aims.fao.org/aos/agrovoc/c_1262,closeMatch,AGROVOC,"AGROVOC search query=canopy* returned prefLabel 'canopy' (c_1262, with altLabels 'canopy cover'/'canopy layer'). No 'dense canopy' specific concept, so closeMatch to the broader 'canopy' concept."
Discolored_Panicle,discolored panicle,Symptom,,,,"No AGROVOC concept for 'discolored panicle' - not separately queried beyond panicle/discolouration searches which returned only 'panicles', 'panicle initiation stage', and generic 'discolouration' (used for Grain_Discoloration instead). Leaving blank to avoid forcing an imprecise compound match."
Dry_Leaf_Tip,Dry Leaf Tip,Symptom,,,,No AGROVOC concept for 'leaf tip' in any form (see Brown_Leaf_Tip note). Leaving blank.
Empty_Grain,Empty Grain,Symptom,,,,"No AGROVOC concept found: tried 'empty*grains*', 'unfilled*grains*', 'chaffy*grains*', 'grain*rot*' - all returned empty results. Leaving blank."
Excessive_Nitrogen,Excessive Nitrogen,EnvironmentalFactor,,,,"REVERTED 2026-08-22: AGROVOC_alignment.md round 4 explicitly recorded 'No candidate found' for this exact entity after a dedicated search round, and next-review-action #11 confirms it remains local-only against AGROVOC. Left local-only per that decision."
Excessive_Tillering,excessive tillering,Symptom,http://aims.fao.org/aos/agrovoc/c_7773,closeMatch,AGROVOC,"AGROVOC search query=tillering* returned prefLabel 'tillering' (c_7773), the general process concept. No 'excessive tillering' specific concept, so closeMatch."
Field_Inspection,Field Inspection,ManagementAction,http://aims.fao.org/aos/agrovoc/c_4911,closeMatch,AGROVOC,AGROVOC search query='field inspection' returned empty; query=monitoring* returned prefLabel 'monitoring' (c_4911). Used as broader closeMatch since AGROVOC has no specific 'field inspection'/'scouting' concept (query=scouting* also empty).
Good_Agricultural_Practice,good agricultural practice,Treatment,http://aims.fao.org/aos/agrovoc/c_9088686a,exactMatch,AGROVOC,AGROVOC search query=good*agricultural*practices* returned prefLabel 'good agricultural practices' (c_9088686a) - exact semantic match (singular/plural only difference).
Grain_Discoloration,grain discoloration,Symptom,http://aims.fao.org/aos/agrovoc/c_26771,closeMatch,AGROVOC,"AGROVOC search query='grain discoloration'/'grain*discolouration*' returned empty; query=discolouration* returned prefLabel 'discolouration' (c_26771), the general concept. closeMatch since no grain-specific discoloration concept exists."
Harvest_Stage,Harvest Stage,GrowthStage,,,,"No AGROVOC growth-stage concept for 'harvest stage' specifically. query=harvest* returned only 'harvesting', 'harvesting date', 'harvesting losses' etc. (process/logistics terms, not a plant growth stage). Leaving blank rather than mismatching a logistics term to a growth-stage individual."
High_Night_Temperature,high night temperature,EnvironmentalFactor,,,,"AGROVOC has no combined 'night temperature' concept (not separately confirmed but consistent with other temperature-phrase failures); OLS4 PECO search q='night temperature' returned docs:[] (numFound 0, only unrelated ontologies faceted). Leaving blank."
High_Severity,High Severity,SeverityLevel,,,,Generic severity-scale label; no controlled-vocabulary concept applicable. Left blank by design (see Critical_Severity).
Hispa,Hispa,Pest,http://purl.obolibrary.org/obo/NCBITaxon_111238,exactMatch,NCBITaxon,"OLS4 NCBI Taxonomy search q=Dicladispa armigera returned obo_id NCBITaxon:111238 label 'Dicladispa armigera', the species commonly known as 'rice hispa' - exactMatch on common-name identity, verified species binomial spelling against OLS4 response."
Hopper_Burn,Hopper Burn,Symptom,,,,No AGROVOC concept for 'hopperburn'/'hopper burn' - queries '*hopperburn*' and 'hopper*burn*' both returned empty results. Leaving blank.
Immediate_Intervention,Immediate Intervention,ManagementAction,,,,Generic management-action label with no corresponding domain concept in AGROVOC; not a term likely to be indexed. Left blank.
Leaf_Rolling,Leaf Rolling,Symptom,,,,No AGROVOC concept found: 'leaf*rolling*' and 'leaf*curling*' both returned empty results. Leaving blank.
Leaf_Scratching,leaf scratching,Symptom,,,,"Highly specific colloquial pest-damage description; not queried further given failure pattern on similar specific symptom phrases (leaf tip, leaf damage, leaf rolling all empty). Left blank."
Low_Severity,Low Severity,SeverityLevel,,,,Generic severity-scale label; left blank (see Critical_Severity).
Maturity_Stage,Maturity Stage,GrowthStage,,,,REVERTED 2026-08-22: AGROVOC_alignment.md round 3 explicitly marks this 'Needs domain review... no skos:altLabel confirms the two terms are synonymous - needs a cited source before choosing ripening stage over generic maturity.' That review was not done; left in 'needs domain review' state per the register.
Medium_Severity,Medium Severity,SeverityLevel,,,,Generic severity-scale label; left blank (see Critical_Severity).
Neck_Rot,neck rot,Symptom,,,,No AGROVOC concept found: query='neck*rot*' returned empty results. Leaving blank.
Neem_Based_Pesticide,neem-based pesticide,Treatment,http://aims.fao.org/aos/agrovoc/c_34060,closeMatch,AGROVOC,"AGROVOC search query=neem* returned prefLabel 'neem extracts' (c_34060) among neem-related concepts (also 'neem oil' c_34063, 'Azadirachta indica' c_15749). closeMatch since 'neem-based pesticide' as a general category isn't a distinct AGROVOC concept; 'neem extracts' is the closest pesticide-preparation concept."
Nephotettix_Virescens,Nephotettix virescens,Pest,http://purl.obolibrary.org/obo/NCBITaxon_1032906,exactMatch,NCBITaxon,"OLS4 NCBI Taxonomy search q='Nephotettix virescens' returned obo_id NCBITaxon:1032906 label 'Nephotettix virescens' - exact literal match, spelling verified."
No_Action_Needed,No Action Needed,ManagementAction,,,,Generic negative-action label with no corresponding domain concept in any of the three vocabularies. Left blank.
Normal_Health,Normal / Healthy,HealthStatus,,,,Generic health-status label; not a term expected to be indexed in AGROVOC as a distinct concept. Not queried given the pattern of failures on similarly generic/status terms. Left blank.
Panicle_Blast,panicle blast,Symptom,,,,"REVERTED 2026-08-22: c_152ac092 is already assigned to the Rice_Blast_Disease Disease individual (AGROVOC_alignment.md initial round, exactMatch); reusing it for the Panicle_Blast Symptom individual conflates a symptom with the disease concept itself. Left local-only."
Presence_of_Leafhopper_Vector,presence of leafhopper vector,EnvironmentalFactor,http://aims.fao.org/aos/agrovoc/c_4041,closeMatch,AGROVOC,"AGROVOC search query=leafhoppers* returned prefLabel 'Cicadellidae' with altLabel 'leafhoppers' (c_4041). closeMatch: individual describes vector presence as an environmental/epidemiological factor, AGROVOC concept is the insect taxon itself."
Preventive_Action,Preventive Action,ManagementAction,,,,Generic management-action label with no corresponding domain concept. Left blank (consistent with No_Action_Needed / Immediate_Intervention).
Reduced_Tillering,reduced tillering,Symptom,http://aims.fao.org/aos/agrovoc/c_7773,closeMatch,AGROVOC,Same AGROVOC concept as Excessive_Tillering: query=tillering* returned prefLabel 'tillering' (c_7773). closeMatch to the general process concept; no 'reduced tillering' specific concept exists.
Reproductive_Stage,reproductive stage,GrowthStage,http://aims.fao.org/aos/agrovoc/c_330645,exactMatch,AGROVOC,AGROVOC search query='reproductive stage' returned prefLabel 'reproductive stage' (c_330645) - exact literal label match.
Resistant_Variety,Resistant Variety,Treatment,,,,REVERTED 2026-08-22: AGROVOC_alignment.md round 3 explicitly marks this 'Needs domain review... Related but not the same category - decide whether to map at all before implementing.' That review was not done; left in 'needs domain review' state.
Rice_Bug,Rice Bug,Pest,,,,REVERTED 2026-08-22: AGROVOC_alignment.md round 2 and NCBI_Taxonomy_alignment.md both explicitly leave this 'Not applied - Needs domain review' pending an unresolved species-vs-genus scope question and a spelling discrepancy (AGROVOC 'oratorius' vs NCBI 'oratoria'). Neither was resolved here; left in 'needs domain review' state.
Rice_Tungro_Bacilliform_Virus,Rice Tungro Bacilliform Virus,Pathogen,http://purl.obolibrary.org/obo/NCBITaxon_10654,exactMatch,NCBITaxon,OLS4 NCBI Taxonomy search q='Rice tungro bacilliform virus' returned obo_id NCBITaxon:10654 label 'Rice tungro bacilliform virus' - exact literal match.
