individual,label,class
Armyworm,Armyworm,Pest
Bacterial_Leaf_Blight,Bacterial Leaf Blight,Disease
Bacterial_Leaf_Streak,Bacterial Leaf Streak,Disease
Bacterial_Panicle_Blight,Bacterial Panicle Blight,Disease
Brown_Leaf_Tip,brown leaf tip,Symptom
Brown_Lesion,Brown Lesion,Symptom
Brown_Spot,Brown Spot,Disease
Burkholderia_Glumae,Burkholderia glumae,Pathogen
Chewed_Leaf,Chewed Leaf,Symptom
Critical_Severity,Critical Severity,SeverityLevel
Crop_Sanitation,crop sanitation,Treatment
Dead_Tiller,dead heart,Symptom
Deadheart,Deadheart,Symptom
Dense_Canopy,dense canopy,EnvironmentalFactor
Discolored_Panicle,discolored panicle,Symptom
Dry_Leaf_Tip,Dry Leaf Tip,Symptom
Empty_Grain,Empty Grain,Symptom
Excessive_Nitrogen,Excessive Nitrogen,EnvironmentalFactor
Excessive_Tillering,excessive tillering,Symptom
Field_Inspection,Field Inspection,ManagementAction
Good_Agricultural_Practice,good agricultural practice,Treatment
Grain_Discoloration,grain discoloration,Symptom
Harvest_Stage,Harvest Stage,GrowthStage
High_Night_Temperature,high night temperature,EnvironmentalFactor
High_Severity,High Severity,SeverityLevel
Hispa,Hispa,Pest
Hopper_Burn,Hopper Burn,Symptom
Immediate_Intervention,Immediate Intervention,ManagementAction
Leaf_Rolling,Leaf Rolling,Symptom
Leaf_Scratching,leaf scratching,Symptom
Low_Severity,Low Severity,SeverityLevel
Maturity_Stage,Maturity Stage,GrowthStage
Medium_Severity,Medium Severity,SeverityLevel
Neck_Rot,neck rot,Symptom
Neem_Based_Pesticide,neem-based pesticide,Treatment
Nephotettix_Virescens,Nephotettix virescens,Pest
No_Action_Needed,No Action Needed,ManagementAction
Normal_Health,Normal / Healthy,HealthStatus
Panicle_Blast,panicle blast,Symptom
Presence_of_Leafhopper_Vector,presence of leafhopper vector,EnvironmentalFactor
Preventive_Action,Preventive Action,ManagementAction
Reduced_Tillering,reduced tillering,Symptom
Reproductive_Stage,reproductive stage,GrowthStage
Resistant_Variety,Resistant Variety,Treatment
Rice_Bug,Rice Bug,Pest
Rice_Tungro_Bacilliform_Virus,Rice Tungro Bacilliform Virus,Pathogen
Rice_Tungro_Spherical_Virus,Rice Tungro Spherical Virus,Pathogen
Scirpophaga_Incertulas,Scirpophaga incertulas,Pest
Sclerophthora_Macrospora,Sclerophthora macrospora,Pathogen
Seed_Treatment,seed treatment,Treatment
Sheath_Blight,Sheath Blight,Disease
Stem_Rot_Symptom,Stem Rot Symptom,Symptom
Sterile_Panicle,sterile panicle,Symptom
Stunted_Growth,stunted growth,Symptom
Tillering_Stage,tillering stage,GrowthStage
Translucent_Stripe,translucent stripe,Symptom
Trichoderma_Application,Trichoderma application,Treatment
Vector_Control,vector control,Treatment
Water_Soaked_Streak,water-soaked streak,Symptom
Waterlogged_Soil,waterlogged soil,EnvironmentalFactor
White_Ear,white ear,Symptom
White_Streak,white streak,Symptom
Xanthomonas_Oryzicola,Xanthomonas oryzae pv. oryzicola,Pathogen
Yellow_Leaf,Yellow Leaf,Symptom
Yellow_Orange_Discoloration,yellow-orange leaf discoloration,Symptom
Yellow_Stripe,yellow stripe,Symptom
